group,japanese,romanji
"hiragana","あ","a"
"hiragana","い","i"
"hiragana","う","u"
"hiragana","え","e"
"hiragana","お","o"
"hiragana","か","ka"
"hiragana","き","ki"
"hiragana","く","ku"
"hiragana","け","ke"
"hiragana","こ","ko"
"hiragana","さ","sa"
"hiragana","し","shi"
"hiragana","す","su"
"hiragana","せ","se"
"hiragana","そ","so"
"hiragana","た","ta"
"hiragana","ち","chi"
"hiragana","つ","tsu"
"hiragana","て","te"
"hiragana","と","to"
"hiragana","な","na"
"hiragana","に","ni"
"hiragana","ぬ","nu"
"hiragana","ね","ne"
"hiragana","の","no"
"hiragana","は","ha"
"hiragana","ひ","hi"
"hiragana","ふ","fu"
"hiragana","へ","he"
"hiragana","ほ","ho"
"hiragana","ま","ma"
"hiragana","み","mi"
"hiragana","む","mu"
"hiragana","め","me"
"hiragana","も","mo"
"hiragana","や","ya"
"hiragana","ゆ","yu"
"hiragana","よ","yo"
"hiragana","ら","ra"
"hiragana","り","ri"
"hiragana","る","ru"
"hiragana","れ","re"
"hiragana","ろ","ro"
"hiragana","わ","wa"
"hiragana","を","wo"
"hiragana","ん","n"

"katakana","ア","a"
"katakana","イ","i"
"katakana","ウ","u"
"katakana","エ","e"
"katakana","オ","o"
"katakana","ハ","ha"
"katakana","ヒ","hi"
"katakana","フ","hu"
"katakana","ヘ","he"
"katakana","ホ","ho"
"katakana","バ","ba"
"katakana","ビ","bi"
"katakana","ブ","bu"
"katakana","ベ","be"
"katakana","ボ","bo"
"katakana","パ","pa"
"katakana","ピ","pi"
"katakana","プ","pu"
"katakana","ペ","pe"
"katakana","ポ","po"
"katakana","カ","ka"
"katakana","キ","ki"
"katakana","ク","ku"
"katakana","ケ","ke"
"katakana","コ","ko"
"katakana","ガ","ga"
"katakana","ギ","gi"
"katakana","グ","gu"
"katakana","ゲ","ge"
"katakana","ゴ","go"
"katakana","タ","ta"
"katakana","チ","chi"
"katakana","ツ","tsu"
"katakana","シ","shi"
"katakana","テ","te"
"katakana","ト","to"
"katakana","ダ","da"
"katakana","ヂ","di"
"katakana","ヅ","du"
"katakana","デ","de"
"katakana","ド","do"
"katakana","サ","sa"
"katakana","ス","su"
"katakana","セ","se"
"katakana","ソ","so"
"katakana","ザ","za"
"katakana","ジ","zi"
"katakana","ズ","zu"
"katakana","ゼ","ze"
"katakana","ゾ","zo"
"katakana","ナ","na"
"katakana","ニ","ni"
"katakana","ヌ","nu"
"katakana","ネ","ne"
"katakana","ノ","no"
"katakana","マ","ma"
"katakana","ミ","mi"
"katakana","ム","mu"
"katakana","メ","me"
"katakana","モ","mo"
"katakana","ラ","ra"
"katakana","リ","ri"
"katakana","ル","ru"
"katakana","レ","re"
"katakana","ロ","ro"
"katakana","ワ","wa"
"katakana","ヲ","wo"
"katakana","ヤ","ya"
"katakana","ユ","yu"
"katakana","ヨ","yo"
"katakana","ン","n"

"top100",これ,kore
"top100",この,kono
"top100",それ,sore
"top100",その,sono
"top100",あれ,are
"top100",あの,ano
"top100",私,watashi
"top100",僕,boku
"top100",彼,he
"top100",彼女,she
"top100",私たち,we
"top100",彼ら,they
"top100",年,nen
"top100",月,getsu
"top100",日,nichi
"top100",週,shuu
"top100",今日,kyou
"top100",明日,ashita
"top100",昨日,kinou
"top100",時間,jikan
"top100",分,fun
"top100",時,ji
"top100",こと,koto
"top100",日本,nihon
"top100",ため,tame
"top100",物,mono
"top100",人,hito
"top100",国,kuni
"top100",大学,daigaku
"top100",今,ima
"top100",前,mae
"top100",後,ato
"top100",駅,eki
"top100",線,sen
"top100",電車,densha
"top100",車,kuruma
"top100",部屋,heya
"top100",名前,namae
"top100",所,tokoro
"top100",場所,basho
"top100",地下鉄,chikatetsu
"top100",中,naka
"top100",外,soto
"top100",学校,gakkou
"top100",語,go
"top100",水,mizu
"top100",映画,eiga
"top100",テレビ,terebi
"top100",家族,kazoku
"top100",町,machi
"top100",他の,hoka no
"top100",出身,shusshin
"top100",トイレ,toire
"top100",家,uchi|ie
"top100",店,mise|ya